Ref_Date,Unadjusted,Seasonally_adjusted,Stock_Exchange_value,Dow_Jones_index,"Standard and Poor's (500), 1941-43=10 (index)",Unemployment,GDP
91/01,12588862,15026890,6315.3,2736.4,343.93,1496.9,
91/02,12154321,15304585,9596.4,2882.2,367.07,1558.2,
91/03,14337072,15413591,8065.4,2913.9,375.22,1660.3,
91/04,15108570,15293409,7121.4,2887.9,375.35,1525.7,
91/05,17225734,15676083,7193.8,3027.5,389.83,1482,
91/06,16342833,15507931,6523.6,2906.8,371.16,1460.2,
91/07,15996243,15556313,6165.6,3024.8,387.81,1528,
91/08,16064910,15430645,5930.4,3043.6,395.43,1499.5,
91/09,15015317,15427313,6173.4,3016.8,387.86,1332.7,
91/10,15606864,15410250,7765.8,3069.1,392.46,1353.9,
91/11,16237366,15662790,8446,2894.7,375.22,1427.3,
91/12,18381340,15349625,6785.3,3168.8,417.09,1422.9,
92/01,13084963,15477875,10347.1,3223.4,408.79,1584.5,
92/02,12773972,15513022,7889.3,3267.7,412.7,1599.8,
92/03,14198775,15527933,7847.8,3235.5,403.69,1733.7,
92/04,15558390,15708556,6920.9,3359.1,414.95,1587.9,
92/05,16776396,15642000,7104.2,3396.9,415.35,1582.5,
92/06,16716231,15823989,8295.9,3318.5,408.14,1590.6,
92/07,16637483,15869453,8058.9,3393.8,424.21,1662,
92/08,15842075,15844631,6522.4,3257.4,414.03,1653.1,
92/09,15812400,15983239,9040.6,3271.7,417.8,1493.4,
92/10,16562268,16125835,8224.8,3226.3,418.68,1483,
92/11,16015869,16049478,8399.1,3305.2,431.35,1670.8,
92/12,19682921,16095727,8573.7,3301.1,435.71,1621.4,
93/01,13672727,16408864,9892.8,3310,438.78,1693.7,
93/02,12900733,16239039,11338.4,3370.8,443.38,1663.2,
93/03,15211859,16314960,15057.7,3435.1,451.67,1779.1,
93/04,16642246,16577426,14478.5,3427.6,440.19,1725.6,
93/05,17442405,16472045,14221.6,3527.4,450.19,1692.7,
93/06,17444074,16351907,17912.7,3516.1,450.53,1649.4,
93/07,17610326,16712914,14875.9,3539.5,448.13,1741.4,
93/08,16645660,16703413,14357.5,3651.3,463.56,1655.4,
93/09,16790330,16755338,14900.3,3555.1,458.93,1491.7,
93/10,16921755,16819382,15235.1,3680.6,467.83,1480.1,
93/11,17124609,16958202,18392.8,3684,461.79,1550,
93/12,20928208,17021436,16724.9,3754.1,466.45,1584.9,
94/01,14005058,17076164,23624.6,3978.4,481.61,1738.2,
94/02,13799079,17393150,21863.9,3832,467.14,1693.3,
94/03,16865149,17890903,23175.6,3636,445.76,1674.6,
94/04,17494589,17507688,16491.9,3681.7,450.91,1646,
94/05,18739509,17775079,14169,3758.4,456.51,1568.5,
94/06,19323481,17882069,15809.5,3625,444.27,1468,
94/07,18297834,17785800,13265.6,3764.5,458.26,1533.9,
94/08,18101290,17881976,18718.4,3913.4,475.5,1515.8,
94/09,18161417,17952647,19742.5,3843.2,462.69,1333.4,
94/10,17998875,18193703,17564.6,3908.1,472.31,1324.7,
94/11,18516766,18264676,15572.5,3739.2,453.69,1338,
94/12,22688647,18387840,14646.4,3834.4,459.27,1345.3,
95/01,14927996,18337565,18368.7,3843.9,470.42,1509.4,
95/02,14520623,18259470,15903.4,4011.1,487.39,1478.4,
95/03,17457477,18225708,20324.2,4157.7,500.71,1545,
95/04,17774107,18217661,18950.4,4321.3,514.71,1439,
95/05,19740889,18333051,22451.6,4465.1,533.4,1412.1,
95/06,20319460,18503481,22928.1,4556.1,544.75,1364.5,
95/07,18747299,18407254,21318.9,4708.5,562.06,1499.3,
95/08,19280525,18720783,18959.7,4610.6,561.88,1429.6,
95/09,18860566,18628735,19408.3,4789.1,584.41,1220,
95/10,18177152,18412692,23142.2,4755.5,581.5,1244.6,
95/11,18962903,18506305,24159.6,5074.5,605.37,1274.1,
95/12,22308880,18525162,20586,5117.1,615.93,1310.1,
96/01,15379086,18531426,30481.5,5395.3,636.02,1498.4,
96/02,15521981,18657652,30695.7,5485.6,640.43,1492.2,
96/03,17613469,18774049,24812.1,5587.1,645.5,1507.8,
96/04,18421405,18739023,28412,5569.1,654.17,1413.5,
96/05,20624568,18758009,28546.3,5643.2,669.12,1390.1,
96/06,20099348,18977805,24308.9,5654.6,670.63,1420.8,
96/07,19423284,18914063,23702.5,5528.9,639.95,1497.6,
96/08,19889359,19071178,23589.7,5616.2,651.99,1424.4,
96/09,18589571,19019991,26427.8,5882.2,687.33,1344.3,
96/10,19686383,19488074,37859.6,6029.4,705.27,1374.3,
96/11,20293165,19820074,41386.1,6521.7,757.02,1410.2,
96/12,22897980,19688254,31243.4,6448.3,740.74,1367,
97/01,16882321,19857365,42545.1,6813.1,786.16,1512.2,1046317
97/02,16033605,20141489,42896.5,6877.7,790.82,1510.4,1052908
97/03,18225453,20056949,36455.9,6583.5,757.12,1473.4,1052793
97/04,20432272,20215340,33715.7,7009,801.34,1455.4,1059928
97/05,22594727,20386953,36547.4,7331,848.28,1435.3,1063696
97/06,21577744,20466883,36945.7,7672.8,885.14,1357.3,1065703
